13	30	2	-9	4	-2	235.53
13	55	2	-4	-2	-4	330.16
13	57	2	0	-2	-1	355.29
13	57	2	6	1	9	190.74
13	44	2	8	-5	-6	567.06
13	36	2	9	-3	2	708.96
13	31	3	-9	-4	4	599.25
13	46	3	-9	-5	7	237.78
13	34	3	-5	4	7	92.3
13	36	3	0	-2	-5	397.28
13	58	3	2	-1	1	594.4
13	51	3	5	-5	-6	546.3
13	52	3	6	-1	9	227.72
13	33	4	-3	-3	2	627.54
13	43	4	-3	-2	-5	402.82
13	30	4	-2	3	6	193.52
13	50	4	1	-5	0	458.01
13	33	4	1	-2	7	158.17
13	53	4	7	-2	6	325.82
13	39	5	-10	4	-1	305.7
13	33	5	-8	4	-2	208.82
13	32	5	-2	2	5	345.41
13	31	5	0	-4	-6	476.56
13	56	5	1	0	-6	489.42
13	41	5	8	-3	4	619.61
13	32	5	8	-4	-1	394.58
13	59	6	-9	-5	-2	337.29
13	52	6	-1	-2	-5	408.6
13	59	6	2	3	-10	216.93
13	31	6	7	-4	-4	340.21
13	34	6	9	-1	-10	376.94
13	38	6	9	-1	7	255.63
13	33	7	-9	4	-9	366.7
13	50	7	-9	-1	-1	380.9
13	51	7	-7	2	1	544.01
13	59	7	-7	-4	-9	472.42
13	52	7	1	2	9	136.47
13	31	7	1	-2	-6	478.29
13	33	7	2	3	-8	456.19
13	55	7	3	0	-8	531.19
13	50	7	3	2	-8	484.56
13	37	7	7	-1	-2	334.08
13	57	7	8	4	5	385.62
14	32	2	-9	-3	9	388.69
14	56	2	-8	1	8	294.39
14	55	2	1	2	3	706.49
14	45	2	4	-5	-5	547.46
14	45	2	5	-2	4	710.32
14	43	2	6	-1	-3	408.51
14	38	2	6	-1	-10	436.45
14	34	2	8	-3	4	729.09
14	38	2	9	-2	-5	604.17
14	50	3	-10	4	1	687.26
14	39	3	-7	-4	0	615.41
14	35	3	-7	-1	-4	469.57
14	32	3	6	2	9	311.39
14	39	4	-4	0	0	593.09
14	37	4	-4	-2	-10	422.56
14	42	4	7	-5	9	388.65
14	53	4	9	0	-5	622.54
14	42	5	-3	-4	4	664.24
14	39	5	-3	1	2	754.92
14	35	5	0	1	-4	399.8
14	52	5	7	-2	6	464.94
14	56	6	-9	-1	-2	452.81
14	51	6	-9	-2	-3	435.16
14	44	6	-8	1	8	272.72
14	30	6	-7	3	-7	634.25
14	51	6	-2	-2	-5	541.98
14	59	6	-2	-1	-3	384.3
14	39	6	2	1	9	289.96
14	34	6	3	0	-3	379.62
14	49	6	6	4	-2	340.1
14	37	6	8	-2	9	403.34
14	53	6	9	-4	-2	524.9
14	48	7	-9	-4	5	576.02
14	52	7	1	1	-1	450.41
14	44	7	3	4	-2	306.81
14	55	7	5	-2	7	359.76
14	37	7	5	-5	3	788.86
15	47	2	-6	4	3	800.08
